review_bucket,sample_row_id,prompt_version,model,cache_key,context_id,citing_paper_id,resolved_cited_title,resolved_cited_authors,normalized_section,raw_section_name,citation_marker,sentence_text,context_window_s3,object_names,object_types,generic_metric_names,cited_title_profile_object_names,primary_candidate_intent,candidate_intents,primary_candidate_object_type,candidate_relation_subtypes,evidence_span,confidence,should_send_to_llm,llm_priority,llm_reason,cited_work_description,matched_rules,phase1_reason,has_object_mention,has_graph_candidate_object
intent_uses,phase1_llm_review_0001,phase1_llm_review_v1,gpt-4o,bb21b9c8975c72999ee788294e6c6d1c658364ab4a2525a0f99b230570123259,ctxr_0c2b43f0dd40b0e01d02,D12-1034,Corpus-based Question Answering for why-Questions,"Higashinaka, Ryuichiro and Isozaki, Hideki",related_work,Related Work,Higashinaka and Isozaki (2008),"Especially for why-QA, Higashinaka and Isozaki (2008) used causal relation features and Verberne et al. (2010) exploited Word-Net features as a kind of semantic features for training their re-ranker, where we used these features, respectively, for B-Ranker+CR and B-Ranker+WN in our experiment.","Similar to our method, they use machine learning techniques to re-rank answer candidates to nonfactoid questions based on various combinations of syntactic, semantic and other statistical features such as the density and frequency of question terms in the answer candidates and patterns for causal relations in the answer candidates. Especially for why-QA, Higashinaka and Isozaki (2008) used causal relation features and Verberne et al. (2010) exploited Word-Net features as a kind of semantic features for training their re-ranker, where we used these features, respectively, for B-Ranker+CR and B-Ranker+WN in our experiment.",,,,,uses,background;uses,unknown,direct_use,we used,0.62,True,medium,explicit_relation_without_object_evidence,True,cited_work_description;current_paper_use_cue,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
intent_uses,phase1_llm_review_0002,phase1_llm_review_v1,gpt-4o,1056d4108cf712e77a0585a1d5c380897c5532684301c0666bdc6096d3bd3ee1,ctxr_85f354bd952e7f3a6044,2009.eamt-1.34,A Systematic Comparison of Various Statistical Alignment Models,"Och, Franz Josef and Ney, Hermann",model,Transition Model,"(Och and Ney, 2003)","We use the refined model which extends the HMM network with I empty words e 2I I+1 and adds parameter p 0 to account for the transition probability to empty words (Och and Ney, 2003) .","We use the refined model which extends the HMM network with I empty words e 2I I+1 and adds parameter p 0 to account for the transition probability to empty words (Och and Ney, 2003) .",HMM,method,,,uses,uses,method,direct_use,We use,0.9,True,high,explicit_current_relation_with_strong_object,False,current_paper_use_cue,primary=uses|confidence=0.90|object=true|graph_object=true|llm_reasons=explicit_current_relation_with_strong_object,True,True
intent_uses,phase1_llm_review_0003,phase1_llm_review_v1,gpt-4o,fed60af914195cc9b5d29f8209b4deade7d24d578b6c05c37af0aca55d0687b5,ctxr_9536c3da42f991efc58d,C10-1088,Overview of {B}io{NLP}{'}09 Shared Task on Event Extraction,"Kim, Jin-Dong and Ohta, Tomoko and Pyysalo, Sampo and Kano, Yoshinobu and Tsujii, Jun{'}ichi",unknown,Bio-molecular Event Extraction,"(Kim et al., 2009)","In this study, we adopt the event extraction task defined in the BioNLP 2009 Shared Task (Kim et al., 2009) as a model information extraction task.","In this study, we adopt the event extraction task defined in the BioNLP 2009 Shared Task (Kim et al., 2009) as a model information extraction task. Figure 1 shows an example illustrating the task of event extraction from a sentence.",,,,,uses,uses,unknown,direct_use,we adopt,0.62,True,medium,explicit_relation_without_object_evidence,False,current_paper_use_cue,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
intent_uses,phase1_llm_review_0004,phase1_llm_review_v1,gpt-4o,9a51afcabdf85e81ecafa0951e847bb54c478ca3c658019cd28a9278f38c23e1,ctxr_26bb46110841f2c1bd02,Y11-1021,{M}oses: Open Source Toolkit for Statistical Machine Translation,"Koehn, Philipp and Hoang, Hieu and Birch, Alexandra and Callison-Burch, Chris and Federico, Marcello and Bertoldi, Nicola and Cowan, Brooke and Shen, Wade and Moran, Christine and Zens, Richard and Dyer, Chris and Bojar, Ond{\v{r}}ej and Constantin, Alexandra and Herbst, Evan",model,Phrase Table of an SMT Model,"(Koehn et al., 2007)","As a toolkit of a phrase-based statistical machine translation model, we use Moses (Koehn et al., 2007) and apply it to the whole 1.8M parallel patent sentences.","As a toolkit of a phrase-based statistical machine translation model, we use Moses (Koehn et al., 2007) and apply it to the whole 1.8M parallel patent sentences. In Moses, first, word alignment of parallel sentences are obtained by GIZA++ (Och and Ney, 2003) in both translation directions and then the two alignments are symmetrised.",Moses;GIZA++,software_or_tool,,,uses,uses,software_or_tool,direct_use,we use,0.9,True,high,explicit_current_relation_with_strong_object,False,current_paper_use_cue,primary=uses|confidence=0.90|object=true|graph_object=true|llm_reasons=explicit_current_relation_with_strong_object,True,True
intent_uses,phase1_llm_review_0005,phase1_llm_review_v1,gpt-4o,7258aa437fc56f35560c44084b790c3b3faab65388dab99d1899173b2fe72dcd,ctxr_8910da199439752313ae,2021.emnlp-main.169,Conversational Graph Grounded Policy Learning for Open-Domain Conversation Generation,"Xu, Jun and Wang, Haifeng and Niu, Zheng-Yu and Wu, Hua and Che, Wanxiang and Liu, Ting",dataset,Datasets,"(Tang et al., 2019; Xu et al., 2020a)","Following previous works (Tang et al., 2019; Xu et al., 2020a) , we employ a rule-based method to automatically extract concept words of each utterance, which combines tf-idf and POS features for scoring word salience.","For Persona-Chat, the associated persona information is discarded so that the model can focus on the development of dialogues. Following previous works (Tang et al., 2019; Xu et al., 2020a) , we employ a rule-based method to automatically extract concept words of each utterance, which combines tf-idf and POS features for scoring word salience. After dataset cleaning, we re-split the Persona-Chat dataset into train/valid/test sets as done in Tang et al. (2019) random.",,,,,uses,uses,unknown,direct_use,we employ,0.62,True,medium,explicit_relation_without_object_evidence,False,current_paper_use_cue,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
intent_uses,phase1_llm_review_0006,phase1_llm_review_v1,gpt-4o,7d7591dd7c49776995fa7ff88aa041275a6fbb0bdbdb8f80b0f91d25447350c2,ctxr_f5309cf09b6560c51006,2021.iwpt-1.11,Revisiting Higher-Order Dependency Parsers,"Fonseca, Erick and Martins, Andr{\'e} F. T.",experiment,Experiments,Fonseca and Martins (2020),"On PTB, in order to compare with recent parsing results, we set up BFOP and BSOP (B for Bert), variants of the FOP and SOP settings: we follow Fonseca and Martins (2020) and concatenate an additional BERT embedding (Devlin et al., 2019) (the average of the 4 last layers of the bertbase-uncased model) to the embedding vector fed to the BiLSTM layers.","On PTB, in order to compare with recent parsing results, we set up BFOP and BSOP (B for Bert), variants of the FOP and SOP settings: we follow Fonseca and Martins (2020) and concatenate an additional BERT embedding (Devlin et al., 2019) (the average of the 4 last layers of the bertbase-uncased model) to the embedding vector fed to the BiLSTM layers.",Penn Treebank;BERT,dataset_or_database;model,,,uses,uses,model,direct_use,we follow,0.9,True,high,explicit_current_relation_with_strong_object,False,current_paper_use_cue,primary=uses|confidence=0.90|object=true|graph_object=true|llm_reasons=explicit_current_relation_with_strong_object,True,True
intent_uses,phase1_llm_review_0007,phase1_llm_review_v1,gpt-4o,6860bb06e61699b46c8596f99ddf6a3ad9b32d0c259c2194525327258446480e,ctxr_887a08b1118a57f816be,L18-1545,Machine Translation by Triangulation: Making Effective Use of Multi-Parallel Corpora,"Cohn, Trevor and Lapata, Mirella",unknown,Pivot and Zero-shot Translation,"(Utiyama and Isahara, 2007; Cohn and Lapata, 2007)","However, if we do not have such parallel corpora, we use pivot translation, which involves translating source sentences into target sentences via a resourcerich language known as a pivot (Utiyama and Isahara, 2007; Cohn and Lapata, 2007) .","We can directly construct translators between all possible language pairs from multilingual parallel corpora (i.e., direct translation). However, if we do not have such parallel corpora, we use pivot translation, which involves translating source sentences into target sentences via a resourcerich language known as a pivot (Utiyama and Isahara, 2007; Cohn and Lapata, 2007) . In NMT, another approach known as the zero-shot translation can be used to construct MT systems without using directly-translated corpora (Johnson et al., 2016) .",,,,,uses,uses,unknown,direct_use,we use,0.62,True,medium,explicit_relation_without_object_evidence,False,current_paper_use_cue;dataset_context_feature,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
intent_uses,phase1_llm_review_0008,phase1_llm_review_v1,gpt-4o,eec9ec5fba37caa1f51d74069652596d6c3a553bfdfd4002d94ba63dcfb115d4,ctxr_00fcd248e96c6fdc966f,2021.acl-long.62,Do Sentence Interactions Matter? Leveraging Sentence Level Representations for Fake News Classification,"Vaibhav, Vaibhav and Mandyam, Raghuram and Hovy, Eduard",experiment,Experiments,"(Vaibhav et al., 2019)","Following the previous work (Vaibhav et al., 2019) , we use SLN: Satirical and Legitimate News Database (Rubin et al., 2016) , and LUN: Labeled Unreliable News Dataset (Rashkin et al., 2017) for our experiments.","We conduct extensive experiments across various settings and datasets. Following the previous work (Vaibhav et al., 2019) , we use SLN: Satirical and Legitimate News Database (Rubin et al., 2016) , and LUN: Labeled Unreliable News Dataset (Rashkin et al., 2017) for our experiments. Table 1 shows the statistics.",,,,,uses,background;uses,unknown,direct_use,we use,0.62,True,medium,explicit_relation_without_object_evidence,False,background_cue;current_paper_use_cue;dataset_context_feature,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
intent_uses,phase1_llm_review_0009,phase1_llm_review_v1,gpt-4o,433a0ea8f126253e1a65aabd45458467e862ea6d851e9fd9e7721580bad40b18,ctxr_57663d0788475ba5d2d0,D14-1019,"Pointwise Prediction for Robust, Adaptable {J}apanese Morphological Analysis","Neubig, Graham and Nakata, Yosuke and Mori, Shinsuke",dataset,Experiments 4.1 Data,"(Neubig et al., 2011)","We use KyTea (Neubig et al., 2011) to tokenize the Japanese data and Stanford Word Segmenter (Tseng et al., 2005) to tokenize the Chinese data.","Each corpus is tokenized, put in lower-case, and sentences with over 40 tokens on either side are removed from the training data. We use KyTea (Neubig et al., 2011) to tokenize the Japanese data and Stanford Word Segmenter (Tseng et al., 2005) to tokenize the Chinese data. We parse the English data with the Berkeley parser (Petrov and Klein, 2007) .",,,,,uses,uses,unknown,direct_use,We use,0.62,True,medium,explicit_relation_without_object_evidence,False,current_paper_use_cue,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
intent_uses,phase1_llm_review_0010,phase1_llm_review_v1,gpt-4o,2d5e355a684576a8842a6bdb5222b5883a1fa150b3bfdf5395f1e70966a21dc9,ctxr_297d22462228e9690860,2020.wmt-1.73,End-to-end Neural Coreference Resolution,"Lee, Kenton and He, Luheng and Lewis, Mike and Zettlemoyer, Luke",unknown,Morphological Taggers,"(Lee et al., 2017)","We use neural co-reference resolution tools by AllenNLP 3 (Lee et al., 2017) and Hugging Face 4 (based on work by Clark and Manning (2016) ).","We set the annotations for the remaining unannotated words to U. We use neural co-reference resolution tools by AllenNLP 3 (Lee et al., 2017) and Hugging Face 4 (based on work by Clark and Manning (2016) ). We refer to these systems as TGA AllenNLP and TGA HuggingFace respectively.",,,,,uses,uses,unknown,direct_use,We use,0.62,True,medium,explicit_relation_without_object_evidence,False,weak_extend_context_feature;current_paper_use_cue,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
intent_uses,phase1_llm_review_0011,phase1_llm_review_v1,gpt-4o,b9c656e2be6b8436fce5ed904bdbb3596b49a3f2f60af1b480ae176a461c7869,ctxr_30d97ff3c22eadb09f26,2020.coling-main.204,Topic-Aware Neural Keyphrase Generation for Social Media Language,"Wang, Yue and Li, Jing and Chan, Hou Pong and King, Irwin and Lyu, Michael R. and Shi, Shuming",related_work,Related work,"(Sukhbaatar et al., 2016; Wang et al., 2019b)","However, unlike these multitask learning methods, we use another multi-agent method (Sukhbaatar et al., 2016; Wang et al., 2019b) .","These multitask learning methods share a certain network structure, and at the output layer design a specific network structure for different tasks, improving the performance of different tasks. However, unlike these multitask learning methods, we use another multi-agent method (Sukhbaatar et al., 2016; Wang et al., 2019b) . In this work, we define two kinds of agents for two generation tasks which can interact and share useful information.",,,,,uses,uses,unknown,direct_use,we use,0.62,True,medium,explicit_relation_without_object_evidence,False,current_paper_use_cue,primary=uses|confidence=0.62|object=false|graph_object=false|llm_reasons=explicit_relation_without_object_evidence,False,False
