review_bucket,sample_row_id,prompt_version,model,cache_key,context_id,citing_paper_id,resolved_cited_title,resolved_cited_authors,normalized_section,raw_section_name,citation_marker,sentence_text,context_window_s3,object_names,object_types,generic_metric_names,cited_title_profile_object_names,primary_candidate_intent,candidate_intents,primary_candidate_object_type,candidate_relation_subtypes,evidence_span,confidence,should_send_to_llm,llm_priority,llm_reason,cited_work_description,matched_rules,phase1_reason,has_object_mention,has_graph_candidate_object
intent_uses,phase1_llm_review_0001,phase1_llm_review_v1,gpt-4o-mini,f0262a699c7302bf3cb42f19d3c4d3e9a36ea541667c52e524156aaf3cd94d3b,ctxr_cdc6fead41394e6c2bc9,W12-4615,Data-Driven Parsing with Probabilistic Linear Context-Free Rewriting Systems,"Kallmeyer, Laura and Maier, Wolfgang",introduction,Introduction,"(Kallmeyer and Maier, 2010)","We use both the new parser and rparse, the parser used in our previous work (Kallmeyer and Maier, 2010) .","Section 6 contains experiments on the transformed NeGra as well as on the Discontinuous Penn Treebank. We use both the new parser and rparse, the parser used in our previous work (Kallmeyer and Maier, 2010) . Our experiments show that given equal conditions, we achieve an enormous speed-up while obtaining an output of a comparable richness.",Penn Treebank,dataset_or_database,,,uses,background;uses,dataset_or_database,direct_use;evaluate_on,We use,0.9,True,high,graph_object_with_current_use_compare_or_extend,True,cited_work_description;background_cue;current_paper_use_cue;explicit_evaluation_cue,primary=uses|confidence=0.90|object=true|graph_object=true|llm_reasons=graph_object_with_current_use_compare_or_extend,True,True
intent_uses,phase1_llm_review_0002,phase1_llm_review_v1,gpt-4o-mini,423d416abd9be0dff80e41e0f8429c48a00fc98391728034d2dad09fdf2b402d,ctxr_7e609202c7a2933a9633,2021.emnlp-main.251,Searching for a Search Method: Benchmarking Search Algorithms for Generating {NLP} Adversarial Examples,"Yoo, Jin Yong and Morris, John and Lifland, Eli and Qi, Yanjun",unknown,Percentage of Modified Words,"(Yoo et al., 2020)","Number of Queries Some existing attack algorithms achieve high attack success rate through massive queries to the model (Yoo et al., 2020) .","Similar to the method adopted when setting K max , we use control variable to select the optimal value ρ max , which will be discussed in Section 3.2. Number of Queries Some existing attack algorithms achieve high attack success rate through massive queries to the model (Yoo et al., 2020) . In order to build a practical attack, we placed constraint on query efficiency.",,,,,uses,uses,unknown,direct_use,we use,0.65,True,medium,current_paper_use_without_object_evidence,False,current_paper_use_cue,primary=uses|confidence=0.65|object=false|graph_object=false|llm_reasons=current_paper_use_without_object_evidence,False,False
intent_uses,phase1_llm_review_0003,phase1_llm_review_v1,gpt-4o-mini,7e98e4020049bcc8219e072d1b7433fd334eb11c83a6b71e12d8c601f22610e5,ctxr_f477ead0357985edd43b,S12-1090,{F}ree{L}ing 1.3: Syntactic and semantic services in an open-source {NLP} library,"Atserias, J. and Casas, B. and Comelles, E. and Gonz{\'a}lez, M. and Padr{\'o}, L. and Padr{\'o}, M.",model,System architecture and description of the runs,"(Atserias et al., 2006)","Every sentence pair is tokenized, lemmatized and POS tagged using Freeling tool (Atserias et al., 2006) .","As we can see in Figure 1 our three runs begin with the pre-processing of SemEval 2012's training set. Every sentence pair is tokenized, lemmatized and POS tagged using Freeling tool (Atserias et al., 2006) . Afterwards, several methods and algorithms are applied in order to extract all features for our Machine Learning System (MLS).",SemEval,benchmark_or_protocol,,,uses,uses,benchmark_or_protocol,direct_use,using,0.65,True,medium,object_mention_with_weak_cue,False,weak_use_cue_with_graph_object_in_high_value_section,primary=uses|confidence=0.65|object=true|graph_object=true|llm_reasons=object_mention_with_weak_cue,True,True
intent_uses,phase1_llm_review_0004,phase1_llm_review_v1,gpt-4o-mini,709a2934925bf5c35a3e94e3bffd813e9fd13e3c71593cbceda436cd25e9526e,ctxr_f1e02e0c927ceccbe62e,Y17-1048,{T}weet2{V}ec: Character-Based Distributed Representations for Social Media,"Dhingra, Bhuwan and Zhou, Zhong and Fitzpatrick, Dylan and Muehl, Michael and Cohen, William",related_work,Related work,"(Dhingra et al., 2016)","We used a similar architecture to that of the Tweet2Vec model (Dhingra et al., 2016) .","By using these approaches, word segmentation is not necessary, and the vocabulary to be handled is reduced; however, there are few studies that use the attention mechanism in character-based approaches. We used a similar architecture to that of the Tweet2Vec model (Dhingra et al., 2016) . We expanded this model by using the attention mechanism and multi-task learning.",attention mechanism,method,,,uses,uses,method,direct_use,We used,0.9,True,high,graph_object_with_current_use_compare_or_extend,False,current_paper_use_cue,primary=uses|confidence=0.90|object=true|graph_object=true|llm_reasons=graph_object_with_current_use_compare_or_extend,True,True
intent_uses,phase1_llm_review_0005,phase1_llm_review_v1,gpt-4o-mini,5a00f1cdf2a2c8422d0a8d9af76c83ff85c461ac8e2cccd37b3e7f35378e38bc,ctxr_8c4339996e5a5c41ffaa,2021.scil-1.29,Multilingual Constituency Parsing with Self-Attention and Pre-Training,"Kitaev, Nikita and Cao, Steven and Klein, Dan",introduction,Introduction,"(Kitaev et al., 2019)","We use the state-of-the-art Berkeley Neural Parser (Kitaev et al., 2019) on the SPMRL data set (Seddah et al., 2013 (Seddah et al., , 2014 , and we add the English Penn Treebank (Marcus et al., 1993) and the Penn Chinese Treebank (Xue et al., 2005) to cover typologically different languages.","We use the state-of-the-art Berkeley Neural Parser (Kitaev et al., 2019) on the SPMRL data set (Seddah et al., 2013 (Seddah et al., , 2014 , and we add the English Penn Treebank (Marcus et al., 1993) and the Penn Chinese Treebank (Xue et al., 2005) to cover typologically different languages.",Penn Treebank,dataset_or_database,,,uses,uses,dataset_or_database,direct_use,We use,0.9,True,high,graph_object_with_current_use_compare_or_extend,False,current_paper_use_cue;dataset_context_feature,primary=uses|confidence=0.90|object=true|graph_object=true|llm_reasons=graph_object_with_current_use_compare_or_extend,True,True
intent_uses,phase1_llm_review_0006,phase1_llm_review_v1,gpt-4o-mini,000034b2ce00500d480e54186c3b859cb09415f35636a356d4b51098aa30d572,ctxr_aeeefca6ae2a9272e078,D12-1088,Overview of the {IWSLT} 2010 evaluation campaign,"Paul, Michael and Federico, Marcello and St{\""u}ker, Sebastian",experiment,Setup,"(Paul et al., 2010)","In both experiments, the translation model was built using the phrase extraction algorithm (Paul et al., 2010) , with commonly used features in Moses (Ex: probability, lexical weighting, lexicalized reordering model).","For the EUROPARL experiment the word alignments were generated using IBM model 4. In both experiments, the translation model was built using the phrase extraction algorithm (Paul et al., 2010) , with commonly used features in Moses (Ex: probability, lexical weighting, lexicalized reordering model). The optimization of the translation model weights was done using MERT tuning (Och, 2003) and the results were evaluated using BLEU-4.",Moses;BLEU,software_or_tool;metric,,,uses,uses,software_or_tool,direct_use,using,0.65,True,medium,object_mention_with_weak_cue,False,weak_use_cue_with_graph_object_in_high_value_section,primary=uses|confidence=0.65|object=true|graph_object=true|llm_reasons=object_mention_with_weak_cue,True,True
intent_uses,phase1_llm_review_0007,phase1_llm_review_v1,gpt-4o-mini,fdd868d59d89f90e2be043092ec714001ac1f3d4834f90b74a5f093ef3492044,ctxr_20326030212f758abf7b,D19-5607,Abstractive Document Summarization with a Graph-Based Attentional Neural Model,"Tan, Jiwei and Wan, Xiaojun and Xiao, Jianguo",related_work,Related Work,"(Tan et al., 2017)","Re-cently, sequence-to-sequence models (Sutskever et al., 2014) with attention Chopra et al., 2016) , copy mechanism Gu et al., 2016) , pointer-generator (See et al., 2017) , graph-based attention (Tan et al., 2017) have been explored.","Barzilay and McKeown (2005) ; Cheung and Penn (2014) fused two sentences into one using their dependency parsed trees. Re-cently, sequence-to-sequence models (Sutskever et al., 2014) with attention Chopra et al., 2016) , copy mechanism Gu et al., 2016) , pointer-generator (See et al., 2017) , graph-based attention (Tan et al., 2017) have been explored. Since the system generated summaries are usually evaluated on ROUGE, its been beneficial to directly optimize this metric during training via a suitable policy using reinforcement learning (Paulus et al., 2017; Celikyilmaz et al., 2018) .",seq2seq;ROUGE,model;metric,,,uses,uses,model,evaluate_on,evaluated on,0.65,True,medium,object_mention_with_weak_cue;object_mention_with_evaluation_cue,False,weak_use_context_feature;explicit_evaluation_cue,primary=uses|confidence=0.65|object=true|graph_object=true|llm_reasons=object_mention_with_weak_cue;object_mention_with_evaluation_cue,True,True
intent_uses,phase1_llm_review_0008,phase1_llm_review_v1,gpt-4o-mini,3b0b9c0ad09d71748b268ea49be2b8bffb6506e979d2551af51b0979e977e22a,ctxr_e4cb4caca81127385de8,D19-5607,Deep Communicating Agents for Abstractive Summarization,"Celikyilmaz, Asli and Bosselut, Antoine and He, Xiaodong and Choi, Yejin",related_work,Related Work,"(Paulus et al., 2017; Celikyilmaz et al., 2018)","Since the system generated summaries are usually evaluated on ROUGE, its been beneficial to directly optimize this metric during training via a suitable policy using reinforcement learning (Paulus et al., 2017; Celikyilmaz et al., 2018) .","Re-cently, sequence-to-sequence models (Sutskever et al., 2014) with attention Chopra et al., 2016) , copy mechanism Gu et al., 2016) , pointer-generator (See et al., 2017) , graph-based attention (Tan et al., 2017) have been explored. Since the system generated summaries are usually evaluated on ROUGE, its been beneficial to directly optimize this metric during training via a suitable policy using reinforcement learning (Paulus et al., 2017; Celikyilmaz et al., 2018) .",ROUGE;seq2seq,metric;model,,,uses,uses,metric,evaluate_on,evaluated on,0.65,True,medium,object_mention_with_weak_cue;object_mention_with_evaluation_cue,False,weak_use_context_feature;explicit_evaluation_cue,primary=uses|confidence=0.65|object=true|graph_object=true|llm_reasons=object_mention_with_weak_cue;object_mention_with_evaluation_cue,True,True
intent_uses,phase1_llm_review_0009,phase1_llm_review_v1,gpt-4o-mini,5fec8874bb3653f329ebc3466310572e43ddb14748922db067641391d64e1e0e,ctxr_5b3fe6cf245dee3f93c6,W11-2168,A Hierarchical Phrase-Based Model for Statistical Machine Translation,"Chiang, David",unknown,Training,"(Chiang, 2005; Huang and Chiang, 2007; Kääriäinen, 2009)","This ability is crucial to achieve good performance and has to be preserved no matter the difficulties that occur when one moves away from conventional phrase-based systems (Chiang, 2005; Huang and Chiang, 2007; Kääriäinen, 2009) .","Training with a target language model One of the main strength of the phrase-based ""log-linear"" models is their ability to make use of powerful target side language models trained on very large amounts of monolingual texts. This ability is crucial to achieve good performance and has to be preserved no matter the difficulties that occur when one moves away from conventional phrase-based systems (Chiang, 2005; Huang and Chiang, 2007; Kääriäinen, 2009) . It thus seems appropriate to include a LM feature function in our model or alternatively to define:",,,,,uses,uses,unknown,evaluate_on,trained on,0.65,False,none,no_priority_rule,False,explicit_evaluation_cue,primary=uses|confidence=0.65|object=false|graph_object=false|llm_reasons=no_priority_rule,False,False
intent_uses,phase1_llm_review_0010,phase1_llm_review_v1,gpt-4o-mini,cf158404361522a02fa79c6ae8ad2705080f9155514daa5143820446b3a62907,ctxr_f3fb562ee8a12f0abf79,D19-1402,Sequential Short-Text Classification with Recurrent and Convolutional Neural Networks,"Lee, Ji Young and Dernoncourt, Franck",unknown,Text Classifier,"(Lee and Dernoncourt, 2016; Ortega and Vu, 2017; Ravi and Kozareva, 2018 )","We used the same data split as (Lee and Dernoncourt, 2016; Ortega and Vu, 2017; Ravi and Kozareva, 2018 ).","The dataset was also used by on-device work of (Ravi and Kozareva, 2018) . We used the same data split as (Lee and Dernoncourt, 2016; Ortega and Vu, 2017; Ravi and Kozareva, 2018 ).",,,,,uses,background;uses,unknown,direct_use,We used,0.65,True,medium,current_paper_use_without_object_evidence,True,cited_work_description;current_paper_use_cue;dataset_context_feature,primary=uses|confidence=0.65|object=false|graph_object=false|llm_reasons=current_paper_use_without_object_evidence,False,False
