case_type,entity_id,entity_title_or_name,object_type,total_count,evidence_use_count,share
top_evidence_use_cited_paper,N19-1423,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,,12756,1750,0.13719034179993728
top_evidence_use_cited_paper,D14-1162,{G}lo{V}e: Global Vectors for Word Representation,,6961,1443,0.20729780203993678
top_evidence_use_cited_paper,P02-1040,{B}leu: a Method for Automatic Evaluation of Machine Translation,,5683,1036,0.1822980819989442
top_evidence_use_cited_paper,P07-2045,{M}oses: Open Source Toolkit for Statistical Machine Translation,,2818,759,0.26933995741660754
top_evidence_use_cited_paper,D14-1181,Convolutional Neural Networks for Sentence Classification,,3328,500,0.1502403846153846
top_evidence_use_cited_paper,J03-1002,A Systematic Comparison of Various Statistical Alignment Models,,2475,455,0.18383838383838383
top_evidence_use_cited_paper,W04-1013,{ROUGE}: A Package for Automatic Evaluation of Summaries,,2032,397,0.1953740157480315
top_evidence_use_cited_paper,N18-1202,Deep Contextualized Word Representations,,4705,379,0.08055260361317747
top_evidence_use_cited_paper,Q17-1010,Enriching Word Vectors with Subword Information,,1766,358,0.20271800679501698
top_evidence_use_cited_paper,D15-1166,Effective Approaches to Attention-based Neural Machine Translation,,2232,341,0.1527777777777778
top_evidence_use_cited_paper,2020.emnlp-demos.6,Transformers: State-of-the-Art Natural Language Processing,,846,336,0.3971631205673759
top_evidence_use_cited_paper,J93-2004,Building a Large Annotated Corpus of {E}nglish: The {P}enn {T}reebank,,2127,333,0.15655853314527504
top_evidence_use_cited_paper,N16-1030,Neural Architectures for Named Entity Recognition,,2254,308,0.13664596273291926
top_evidence_use_cited_paper,D16-1264,"{SQ}u{AD}: 100,000+ Questions for Machine Comprehension of Text",,2615,307,0.11739961759082218
top_evidence_use_cited_paper,N13-1090,Linguistic Regularities in Continuous Space Word Representations,,2507,299,0.11926605504587157
high_citation_low_evidence_use_share,P18-1138,Knowledge Diffusion for Neural Dialogue Generation,,87,0,0.0
high_citation_low_evidence_use_share,R11-1002,Acquiring Topic Features to improve Event Extraction: in Pre-selected and Balanced Collections,,85,0,0.0
high_citation_low_evidence_use_share,D13-1156,Fast Joint Compression and Summarization via Graph Cuts,,76,0,0.0
high_citation_low_evidence_use_share,P11-2016,That{'}s What She Said: Double Entendre Identification,,57,0,0.0
high_citation_low_evidence_use_share,P03-1028,Closing the Gap: Learning-Based Information Extraction Rivaling Knowledge-Engineering Methods,,48,0,0.0
high_citation_low_evidence_use_share,S10-1097,{T}witter Based System: Using {T}witter for Disambiguating Sentiment Ambiguous Adjectives,,46,0,0.0
high_citation_low_evidence_use_share,2020.fnp-1.23,{AMEX} {AI}-Labs: An Investigative Study on Extractive Summarization of Financial Documents,,44,0,0.0
high_citation_low_evidence_use_share,2020.fnp-1.22,Knowledge Graph and Deep Neural Network for Extractive Text Summarization by Utilizing Triples,,44,0,0.0
high_citation_low_evidence_use_share,W17-5535,Exploring Joint Neural Model for Sentence Level Discourse Parsing and Sentiment Analysis,,43,0,0.0
high_citation_low_evidence_use_share,C04-1192,"Fine-Grained Word Sense Disambiguation Based on Parallel Corpora, Word Alignment, Word Clustering and Aligned Wordnets",,40,0,0.0
high_citation_low_evidence_use_share,2021.dravidianlangtech-1.24,{UVCE}-{IIITT}@{D}ravidian{L}ang{T}ech-{EACL}2021: {T}amil Troll Meme Classification: You need to Pay more Attention,,40,0,0.0
high_citation_low_evidence_use_share,I11-1004,Extracting Pre-ordering Rules from Predicate-Argument Structures,,38,0,0.0
high_citation_low_evidence_use_share,N10-1014,Unsupervised Syntactic Alignment with Inversion Transduction Grammars,,38,0,0.0
high_citation_low_evidence_use_share,N12-2012,Automatic Humor Classification on {T}witter,,38,0,0.0
high_citation_low_evidence_use_share,P13-2099,Evolutionary Hierarchical {D}irichlet Process for Timeline Summarization,,37,0,0.0
benchmark_comparison_cited_paper,2021.blackboxnlp-1.33,Perturbing Inputs for Fragile Interpretations in Deep Natural Language Processing,,11,11,1.0
benchmark_comparison_cited_paper,W14-2616,Sentiment classification of online political discussions: a comparison of a word-based and dependency-based method,,10,10,1.0
benchmark_comparison_cited_paper,2021.findings-acl.327,On the Lack of Robust Interpretability of Neural Text Classifiers,,15,11,0.7333333333333333
benchmark_comparison_cited_paper,S17-2007,{BIT} at {S}em{E}val-2017 Task 1: Using Semantic Information Space to Evaluate Semantic Textual Similarity,,10,7,0.7
benchmark_comparison_cited_paper,U10-1003,Multilingual Language Identification: {ALTW} 2010 Shared Task Data,,16,11,0.6875
benchmark_comparison_cited_paper,W12-3701,Multimodal Sentiment Analysis,,15,12,0.8
benchmark_comparison_cited_paper,1998.amta-papers.10,An evaluation of the multi-engine {MT} architecture,,27,17,0.6296296296296297
benchmark_comparison_cited_paper,W14-2605,Aspect-Level Sentiment Analysis in {C}zech,,13,8,0.6153846153846154
