card_type,context_id,object_name,final_intent,final_object_type,final_relation_subtype,method_edge_type,resolved_cited_title,normalized_section,sentence_text,evidence_span,confidence,why_interesting
role quota,ctxr_000dc69d88ce17083381,GIZA++,uses,software_or_tool,direct_use,uses_component,A Systematic Comparison of Various Statistical Alignment Models,dataset,"We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .","We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .",0.99,Exact use statement directly names GIZA++ as a tool employed by the current paper; no comparison or critique is present.
role quota,ctxr_000dc69d88ce17083381,Moses,uses,software_or_tool,direct_use,uses_component,A Systematic Comparison of Various Statistical Alignment Models,dataset,"We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .","We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .",0.99,Exact use statement directly names GIZA++ as a tool employed by the current paper; no comparison or critique is present.
role quota,ctxr_001459d9708b62421359,attention mechanism,uses,method,direct_use,uses_component,Hierarchical Attention Networks for Document Classification,unknown,"(3) we follow (Yang et al., 2016) and employ an attention mechanism to combine the hidden states.","we follow (Yang et al., 2016) and employ an attention mechanism to combine the hidden states",0.99,"The sentence explicitly says the paper follows Yang et al. (2016) and employs an attention mechanism to combine hidden states, which directly supports a uses/direct_use label."
role quota,ctxr_00172a584ddfbc28e1c6,GloVe,uses,model,direct_use,uses_component,{G}lo{V}e: Global Vectors for Word Representation,unknown,"We initialize word embeddings using 300-dimensional GloVe (Pennington et al., 2014) ; out-of-vocabulary words are treated as UNK, initialized uniformly in the range of ±0.05.","We initialize word embeddings using 300-dimensional GloVe (Pennington et al., 2014)",0.99,"The sentence explicitly states that the current paper initializes embeddings with GloVe, which is direct component use."
role quota,ctxr_0019891540cdaf58561f,BERT,uses,model,direct_use,uses_component,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,unknown,"We adopt the BERT (Devlin et al., 2019) to encode the local information, 1 which has achieved the state-of-the-art performance for EFI task (Veyseh et al., 2019).","We adopt the BERT (Devlin et al., 2019) to encode the local information",0.99,Explicit direct use of BERT to encode local information; comparison mention is secondary and does not change the primary citation function.
role quota,ctxr_0019891540cdaf58561f,Transformer,uses,model,direct_use,uses_component,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,unknown,"We adopt the BERT (Devlin et al., 2019) to encode the local information, 1 which has achieved the state-of-the-art performance for EFI task (Veyseh et al., 2019).","We adopt the BERT (Devlin et al., 2019) to encode the local information",0.99,Explicit direct use of BERT to encode local information; comparison mention is secondary and does not change the primary citation function.
role quota,ctxr_001d861d202fdadc1e48,SNLI,uses,dataset_or_database,direct_use,uses_component,A large annotated corpus for learning natural language inference,dataset,"We used the SNLI corpus (Bowman et al., 2015) as the dataset.","We used the SNLI corpus (Bowman et al., 2015) as the dataset.",0.99,"The sentence explicitly states direct use of SNLI as the dataset, which is a clear uses/direct_use relation."
role quota,ctxr_002adf07b0108825ff92,BERT,uses,model,direct_use,uses_component,Transformers: State-of-the-Art Natural Language Processing,experiment,"We use the pre-trained Huggingface models (Wolf et al., 2020) for BERT and ALBERT.","We use the pre-trained Huggingface models (Wolf et al., 2020) for BERT and ALBERT.",0.99,Explicit direct use of the cited Huggingface models for BERT and ALBERT.
role quota,ctxr_00377dc5cd1bbff5ec9e,Stanford CoreNLP,uses,software_or_tool,direct_use,uses_component,The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,system_description,"As the main module, we used Stanford dependency parser (CoreNLP) (Manning et al., 2014) and its' features for text analysis.","As the main module, we used Stanford dependency parser (CoreNLP) (Manning et al., 2014) and its' features for text analysis.",0.99,The sentence explicitly states direct use of Stanford CoreNLP as the main module for text analysis.
role quota,ctxr_003c37600204de106bf0,attention mechanism,uses,method,direct_use,uses_component,Hierarchical Attention Networks for Document Classification,unknown,We employ the unconditional attention mechanism used to do document classification employed by Yang et al. (2016) .,We employ the unconditional attention mechanism used to do document classification employed by Yang et al. (2016) .,0.99,"Explicitly states the current paper employs the attention mechanism from Yang et al. (2016), which is direct use of a cited method."
role quota,ctxr_001b1a38227f8405b41d,Transformer,compares_against,model,compare_against,compares,Dual-decoder Transformer for Joint Automatic Speech Recognition and Multilingual Speech Translation,experiment,"Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .","Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .",0.99,"The sentence explicitly lists the cited work as a baseline in Table 1, which is a direct comparison against the current paper's model."
