bottleneck_family,object_name,object_type,context_id,normalized_section,evidence_span,confidence
computational_cost,BLEU,metric,ctxr_ee0599426fc3689495ed,introduction,"they generally suffer from slow and unstable training due to the high variance of policy gradients and the credit assignment problem (Sutton, 1984; Wiseman and Rush, 2016; Liu et al., 2018; Wang et al., 2018)",0.77
computational_cost,Transformer,model,ctxr_cd1e26716bf041253793,related_work,"This contrasts with our results with Transformer-based architecture and is probably explained by memory loss in recurrent networks trained on short sequences. Similarly, Gulordava et al. (2018) tested whether a Recurrent Neural Network can predict long-distance number agreement in various constructions comparing natural and nonsensical sentences where RNNs cannot rely on semantic or lexical cues.",0.91
data_resource_requirement,BLEU,metric,ctxr_54407066f57792e5e311,introduction,"Previous work (Ng and Abrecht, 2015; Liu and Liu, 2008; Liu et al., 2016; Shang et al., 2018) agrees on two major drawbacks of them: 1) they favor lexical similarity, falling short on semantic similarity or linguistic quality, and 2) they require a reference summary which is often expensive to obtain",0.94
data_resource_requirement,METEOR,metric,ctxr_c9fe4876898d8c999c43,introduction,"Previous work (Ng and Abrecht, 2015; Liu and Liu, 2008; Liu et al., 2016; Shang et al., 2018) agrees on two major drawbacks of them: 1) they favor lexical similarity, falling short on semantic similarity or linguistic quality, and 2) they require a reference summary which is often expensive to obtain",0.96
failure_limitation,CRF,method,ctxr_31fe74e2ef9139799f78,unknown,The cascaded CRF layers of Ju et al. (2018) are the limitation in inference speed.,0.93
failure_limitation,attention mechanism,method,ctxr_95e5910c9eaed53aad6f,unknown,the attention mechanism fails to provide explanation,0.91
generalization_domain,LSTM,model,ctxr_70910577f2d2bc86f25f,introduction,even well-trained models often fail to generalize to a new dataset,0.94
generalization_domain,PropBank,dataset_or_database,ctxr_40e56d7925b6918ddc57,unknown,these previous work cannot be directly transferred to the PARSEME framework,0.92
linguistic_coverage,METEOR,metric,ctxr_a2b6ac2466a79638f8f1,related_work,"but, by design, they usually fail to recognize and capture semantic similarity beyond the lexical level",0.98
linguistic_coverage,WordNet,dataset_or_database,ctxr_56e63a9d1420b5995a01,conclusion,"was limited to tree cut models (Li and Abe, 1998) and failed to distinguish detailed semantic differences between them",0.9
metric_validity,BLEU,metric,ctxr_4368966831503d303249,introduction,the limitations of BLEU are well-known,0.97
metric_validity,BLEU,metric,ctxr_e834c1d01e6cc826a66e,introduction,these metrics do not enforce translation utility adequately and often fail to preserve meaning closely,0.96
other,BERT,model,ctxr_5c2ef191374a9cc63a7b,unknown,"we do not use any contextualization of the word embeddings such as ElMo(Peters et al., 2018) and BERT(Devlin et al., 2019), as our Bi-LSTM architecture already performs contextualization",0.84
other,Moses,software_or_tool,ctxr_b0c4ba9a8c3ea2c7ead4,related_work,but do not show any gains,0.91
poor_performance,Transformer,model,ctxr_b65ab4161836677f3880,model,the poor performance of the Transformer in their experiments is due to hyperparameter choice,0.74
poor_performance,attention mechanism,method,ctxr_77ea021fa36d5e662bd2,unknown,some studies argue otherwise and show that the attention weights are poor indicators of feature importance,0.88
reproducibility_tooling,Transformer,model,ctxr_7254a1afce62437fc6b8,background,"Ma et al. (2019b) claim to have done this, but we were unable to reproduce their results either.",0.82
reproducibility_tooling,WordNet,dataset_or_database,ctxr_29aaa3dba57c5b579e9e,introduction,"We do not modify the WordNet ontology, unlike (Snow et al., 2007) , as it may introduce spurious relations and remove some manually encoded information.",0.92
scalability,BLEU,metric,ctxr_3fb967e87481b52034ae,related_work,"It works well for a small number of parameters, but suffers from scalability and stability issues (Foster and Kuhn, 2009) .",0.95
scalability,BLEU,metric,ctxr_e51cb5f69a81506900b4,introduction,"A known limitation of MERT is its difficulty to scale to weighting a larger amount of features than those present in a typical PB-SMT system (Och et al., 2004) .",0.93
