card_type,context_id,final_intent,object_name,object_type,final_object_type,relation_subtype,method_edge_type,normalized_section,cited_acl_id,cited_title,citation_sentence,evidence_span,confidence,why_interesting
high-confidence evidence card,ctxr_000dc69d88ce17083381,uses,GIZA++,software_or_tool,software_or_tool,direct_use,uses_component,dataset,J03-1002,A Systematic Comparison of Various Statistical Alignment Models,"We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .","We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .",0.99,Exact use statement directly names GIZA++ as a tool employed by the current paper; no comparison or critique is present.
high-confidence evidence card,ctxr_000dc69d88ce17083381,uses,Moses,software_or_tool,software_or_tool,direct_use,uses_component,dataset,J03-1002,A Systematic Comparison of Various Statistical Alignment Models,"We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .","We use the Moses SMT framework (Koehn et al., 2007) , GIZA++ automatic word alignments (Och and Ney, 2003) , and the batch version of MIRA for tuning (Cherry and Foster, 2012) .",0.99,Exact use statement directly names GIZA++ as a tool employed by the current paper; no comparison or critique is present.
high-confidence evidence card,ctxr_001459d9708b62421359,uses,attention mechanism,method,method,direct_use,uses_component,unknown,N16-1174,Hierarchical Attention Networks for Document Classification,"(3) we follow (Yang et al., 2016) and employ an attention mechanism to combine the hidden states.","we follow (Yang et al., 2016) and employ an attention mechanism to combine the hidden states",0.99,"The sentence explicitly says the paper follows Yang et al. (2016) and employs an attention mechanism to combine hidden states, which directly supports a uses/direct_use label."
high-confidence evidence card,ctxr_00172a584ddfbc28e1c6,uses,GloVe,model,model,direct_use,uses_component,unknown,D14-1162,{G}lo{V}e: Global Vectors for Word Representation,"We initialize word embeddings using 300-dimensional GloVe (Pennington et al., 2014) ; out-of-vocabulary words are treated as UNK, initialized uniformly in the range of ±0.05.","We initialize word embeddings using 300-dimensional GloVe (Pennington et al., 2014)",0.99,"The sentence explicitly states that the current paper initializes embeddings with GloVe, which is direct component use."
high-confidence evidence card,ctxr_0019891540cdaf58561f,uses,BERT,model,model,direct_use,uses_component,unknown,N19-1423,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,"We adopt the BERT (Devlin et al., 2019) to encode the local information, 1 which has achieved the state-of-the-art performance for EFI task (Veyseh et al., 2019).","We adopt the BERT (Devlin et al., 2019) to encode the local information",0.99,Explicit direct use of BERT to encode local information; comparison mention is secondary and does not change the primary citation function.
high-confidence evidence card,ctxr_0019891540cdaf58561f,uses,Transformer,model,model,direct_use,uses_component,unknown,N19-1423,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,"We adopt the BERT (Devlin et al., 2019) to encode the local information, 1 which has achieved the state-of-the-art performance for EFI task (Veyseh et al., 2019).","We adopt the BERT (Devlin et al., 2019) to encode the local information",0.99,Explicit direct use of BERT to encode local information; comparison mention is secondary and does not change the primary citation function.
high-confidence evidence card,ctxr_001d861d202fdadc1e48,uses,SNLI,dataset_or_database,dataset_or_database,direct_use,uses_component,dataset,D15-1075,A large annotated corpus for learning natural language inference,"We used the SNLI corpus (Bowman et al., 2015) as the dataset.","We used the SNLI corpus (Bowman et al., 2015) as the dataset.",0.99,"The sentence explicitly states direct use of SNLI as the dataset, which is a clear uses/direct_use relation."
high-confidence evidence card,ctxr_002adf07b0108825ff92,uses,BERT,model,model,direct_use,uses_component,experiment,2020.emnlp-demos.6,Transformers: State-of-the-Art Natural Language Processing,"We use the pre-trained Huggingface models (Wolf et al., 2020) for BERT and ALBERT.","We use the pre-trained Huggingface models (Wolf et al., 2020) for BERT and ALBERT.",0.99,Explicit direct use of the cited Huggingface models for BERT and ALBERT.
high-confidence evidence card,ctxr_00377dc5cd1bbff5ec9e,uses,Stanford CoreNLP,software_or_tool,software_or_tool,direct_use,uses_component,system_description,P14-5010,The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,"As the main module, we used Stanford dependency parser (CoreNLP) (Manning et al., 2014) and its' features for text analysis.","As the main module, we used Stanford dependency parser (CoreNLP) (Manning et al., 2014) and its' features for text analysis.",0.99,The sentence explicitly states direct use of Stanford CoreNLP as the main module for text analysis.
high-confidence evidence card,ctxr_003c37600204de106bf0,uses,attention mechanism,method,method,direct_use,uses_component,unknown,N16-1174,Hierarchical Attention Networks for Document Classification,We employ the unconditional attention mechanism used to do document classification employed by Yang et al. (2016) .,We employ the unconditional attention mechanism used to do document classification employed by Yang et al. (2016) .,0.99,"Explicitly states the current paper employs the attention mechanism from Yang et al. (2016), which is direct use of a cited method."
high-confidence evidence card,ctxr_001b1a38227f8405b41d,compares_against,Transformer,model,model,compare_against,compares,experiment,2020.coling-main.314,Dual-decoder Transformer for Joint Automatic Speech Recognition and Multilingual Speech Translation,"Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .","Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .",0.99,"The sentence explicitly lists the cited work as a baseline in Table 1, which is a direct comparison against the current paper's model."
high-confidence evidence card,ctxr_0136aaca7147d10f1514,compares_against,BERT,model,method,compare_against,compares,results,C18-1139,Contextual String Embeddings for Sequence Labeling,"We can see that, compared with vanilla negative sampling, our proposed variant obtains far better performances on Method EC NEWS Partial CRF (Yang et al., 2018) 60.08 78.38 Positive-unlabeled (PU) Learning (Peng et al., 2019) 61.22 77.98 Weighted Partial CRF (Jie et al., 2019) 61.75 78.64 BERT-MRC (Li et al., 2020a) 55.72 74.55 BERT-Biaffine Model (Yu et al., 2020) 55 (Akbik et al., 2018) 93.09 89.3 HCR w/ BERT (Luo et al., 2020) 93.37 90.30 BERT-MRC (Li et al., 2020a) 93.04 91.11 BERT-Biaffine Model (Yu et al., 2020) 93.5 91.3 Vanilla Negative Sampling (Li et al., 2021a) 93.42 90.59 Our Proposed Variant 93.68 91.17 the first few epochs and converges much faster.","compared with vanilla negative sampling, our proposed variant obtains far better performances",0.99,"The sentence explicitly contrasts performance against the cited/related baseline and reports better results, which supports a compare-against label."
