resolved_cited_acl_id,resolved_cited_title,total_strong_contexts,applies,background,compares_against,critiques,extends,uses,evidence_use_count,background_share,evidence_use_share,rank_by_total_strong_contexts,rank_by_evidence_use_count,rank_difference,absolute_rank_difference,reversal_type
S19-2200,{C}olumbia{NLP} at {S}em{E}val-2019 Task 8: The Answer is Language Model Fine-tuning,1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W06-3810,Graph-based Generalized Latent Semantic Analysis for Document Representation,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
I13-1005,Precise Information Retrieval Exploiting Predicate-Argument Structures,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.coling-main.337,Unleashing the Power of Neural Discourse Parsers - A Context and Structure Aware Approach Using Large Scale Pretraining,1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
I11-1110,Using Text Reviews for Product Entity Completion,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.ngt-1.27,Improving Document-Level Neural Machine Translation with Domain Adaptation,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W08-2005,Graph-Based Clustering for Semantic Classification of Onomatopoetic Words,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P17-3006,Are You Asking the Right Questions? Teaching Machines to Ask Clarification Questions,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-1901,Effective Feature Representation for Clinical Text Concept Extraction,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
I08-1020,Experiments on Semantic-based Clustering for Cross-document Coreference,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P18-4004,{H}arri{GT}: A Tool for Linking News to Science,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W08-0324,Statistical Transfer Systems for {F}rench-{E}nglish and {G}erman-{E}nglish Machine Translation,1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
I05-3028,{C}hinese Word Segmentation with Multiple Postprocessors in {HIT}-{IRL}ab,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
I05-2046,Using Maximum Entropy to Extract Biomedical Named Entities without Dictionaries,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.825,Abstractive Text Summarization based on Language Model Conditioning and Locality Modeling,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
