context_id,sentence_text,context_window_s3,resolved_cited_title,primary_candidate_intent,final_intent,final_object_type,final_relation_subtype,evidence_span,confidence,abstain,rationale_short,reviewer_correct,reviewer_notes
ctxr_8eb475c4a5c8c8b12536,"If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) .","If any of the targets already known (e.g. restaurant name, or meal) appears in the sentence text, next to a verb or adjective, it is chosen as the OTE. If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) . Having found one OTE, through the catalog or by NER, its text and position are marked in slot 2.",The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,applies,applies,software_or_tool,direct_use,"our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool",0.9,False,The evidence indicates the paper applies the Stanford NER tool for a specific task.,,
ctxr_d0d95e6594b49ef68838,"If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) .","If any of the targets already known (e.g. restaurant name, or meal) appears in the sentence text, next to a verb or adjective, it is chosen as the OTE. If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) . Having found one OTE, through the catalog or by NER, its text and position are marked in slot 2.",The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,applies,applies,software_or_tool,direct_use,"our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014)",0.9,False,"The sentence explicitly mentions using the Stanford NER tool for named entity recognition, indicating application.",,
ctxr_4e53d00bce9075088fd6,"We applied our adaptation method to two stateof-the-art unsupervised syntactic dependency parsing models: Neural Conditional Random Field Autoencoder (NCRFAE, Li and Tu (2020) ) and Variational Variant of Discriminative Neural Dependency Model with Valences (V-DNDMV, Han et al. (2019) ).","We applied our adaptation method to two stateof-the-art unsupervised syntactic dependency parsing models: Neural Conditional Random Field Autoencoder (NCRFAE, Li and Tu (2020) ) and Variational Variant of Discriminative Neural Dependency Model with Valences (V-DNDMV, Han et al. (2019) ). In our experiments, the adapted models performs better than the baseline on both RST Discourse Treebank (RST-DT, Carlson et al. (2001) ) and SciDTB (Yang and Li, 2018) in the unsupervised setting.",Enhancing Unsupervised Generative Dependency Parser with Contextual Information,applies,applies,method,adapt_to_domain,We applied our adaptation method to,0.95,False,"The citation indicates the application of an adaptation method to the cited model, implying adaptation to a domain.",,
ctxr_b0eb2d8f729656f299d9,"Inspired by a previous study (Zhou et al., 2018b) , we apply another group of attentive blocks, which is referred to as cross-attention, to capture semantic dependency between p, s i and r.","Inspired by a previous study (Zhou et al., 2018b) , we apply another group of attentive blocks, which is referred to as cross-attention, to capture semantic dependency between p, s i and r. Considering p and s i at first, their cross-attention representations are defined by:",Multi-Turn Response Selection for Chatbots with Deep Attention Matching Network,applies,applies,method,direct_use,"we apply another group of attentive blocks, which is referred to as cross-attention",0.9,False,The context indicates the application of a method (cross-attention) inspired by Zhou et al. (2018b).,,
ctxr_709dd20dc9b3e4c2fdd9,"In this sense, our approach applies EM to simplify the task (e.g. when using Brown clustering (Brown et al., 1992) ), followed by another EM run to optimize cipher table parameters.","Our proposed tagging pipeline can be interpreted as first reducing the vocabulary size to a fixed number of clusters, and then finding a cluster-POS tag mapping table that best explains the data without any path constraint (a cluster ID could be mapped to any POS tag). In this sense, our approach applies EM to simplify the task (e.g. when using Brown clustering (Brown et al., 1992) ), followed by another EM run to optimize cipher table parameters.",Class-Based \textit{n}-gram Models of Natural Language,applies,applies,method,adapt_to_domain,"our approach applies EM to simplify the task (e.g. when using Brown clustering (Brown et al., 1992) )",0.85,False,"The citation explains how the paper applies the Brown clustering method to a task, supporting an 'applies' label.",,
ctxr_29b1b3d869b50cb5da01,"However, our approach applies to other graph-based dependency parsers as well-including non-projective parsing, higher-order parsing, or approximations to higher-order parsing that use stacking (Martins et al., 2008) , belief propagation (Smith and Eisner, 2008) , or structured boosting (Wang et al., 2007) .","Our present experiments use the Maximum Spanning Tree (MST) parsing algorithm (McDonald et al., 2005a; McDonald and Pereira, 2006) . However, our approach applies to other graph-based dependency parsers as well-including non-projective parsing, higher-order parsing, or approximations to higher-order parsing that use stacking (Martins et al., 2008) , belief propagation (Smith and Eisner, 2008) , or structured boosting (Wang et al., 2007) .",Dependency Parsing by Belief Propagation,applies,applies,method,adapt_to_domain,"our approach applies to other graph-based dependency parsers as well-including non-projective parsing, higher-order parsing, or approximations to higher-order parsing that use stacking (Martins et al., 2008) , belief propagation (Smith and Eisner, 2008)",0.85,False,"The sentence states that the approach applies to methods including belief propagation, indicating adaptation to different domains.",,
ctxr_680ede39d6dd7e5bba28,"For this purpose, we apply the hierarchical clustering method of Shutova and Sun (2013) to identify both metaphorical associations and metaphorical expressions in a fully unsupervised way.","In our second set of experiments, we investigate to what extent it is possible to acquire information about metaphor from distributional properties of concepts alone, without any need for labeled examples. For this purpose, we apply the hierarchical clustering method of Shutova and Sun (2013) to identify both metaphorical associations and metaphorical expressions in a fully unsupervised way. We use hierarchical graph factorization clustering (Yu, Yu, and Tresp 2006) of nouns to create a network (or a graph) of concepts and to quantify the strength of association between concepts in this graph.",Unsupervised Metaphor Identification Using Hierarchical Graph Factorization Clustering,applies,applies,method,adapt_to_domain,we apply the hierarchical clustering method of Shutova and Sun (2013) to identify both metaphorical associations and metaphorical expressions in a fully unsupervised way,0.9,False,"The citing paper applies the method from Shutova and Sun (2013) to a new task, as indicated by 'we apply the hierarchical clustering method...to identify...in a fully unsupervised way.'",,
ctxr_3dc079a607b1bf8a6c52,"However, our approach applies to other graph-based dependency parsers as well-including non-projective parsing, higher-order parsing, or approximations to higher-order parsing that use stacking (Martins et al., 2008) , belief propagation (Smith and Eisner, 2008) , or structured boosting (Wang et al., 2007) .","Our present experiments use the Maximum Spanning Tree (MST) parsing algorithm (McDonald et al., 2005a; McDonald and Pereira, 2006) . However, our approach applies to other graph-based dependency parsers as well-including non-projective parsing, higher-order parsing, or approximations to higher-order parsing that use stacking (Martins et al., 2008) , belief propagation (Smith and Eisner, 2008) , or structured boosting (Wang et al., 2007) .",Stacking Dependency Parsers,applies,applies,method,adapt_to_domain,our approach applies to other graph-based dependency parsers,0.85,False,"The sentence indicates the current paper's approach can apply to the method described by Martins et al., suggesting an application to a broader domain.",,
ctxr_0b2143155ffe800491b1,"This paper applies reranking (Collins and Koo, 2005) to the n-best output of both parsers individually, as well as to an n-best list consisting of the union of the outputs of both parsers.","Even from this cursory description it is clear that these parsers parsers extract generalizations from the training data in different ways. This paper applies reranking (Collins and Koo, 2005) to the n-best output of both parsers individually, as well as to an n-best list consisting of the union of the outputs of both parsers. We are interested to see whether the same kinds of features improve the performance of both the Berkeley and the Brown parsers, or whether successful reranking requires features that are specially tuned to the parser it is applied to.",Discriminative Reranking for Natural Language Parsing,applies,applies,method,adapt_to_domain,"This paper applies reranking (Collins and Koo, 2005) to",0.85,False,"The citation describes the application of a reranking method from Collins and Koo (2005) to a specific task, indicating 'applies' with method type and 'adapt_to_domain' subtype.",,
ctxr_c687926cbfd6308ac293,We applied the preprocessing codes of Choe and Charniak (2016) 12 to the dataset and converted a token that appears fewer than ten times in the training dataset into a special token unk.,"We used the section 2-21 for training, 22 for validation, and 23 for testing. We applied the preprocessing codes of Choe and Charniak (2016) 12 to the dataset and converted a token that appears fewer than ten times in the training dataset into a special token unk. For reranking, we prepared 500 candidates obtained by the Charniak parser (Charniak, 2000) .",Parsing as Language Modeling,applies,applies,software_or_tool,adapt_to_domain,We applied the preprocessing codes of Choe and Charniak (2016),0.9,False,"The paper applies the preprocessing codes from the cited work to adapt to a specific dataset, indicating use in a particular domain.",,
